"source_id","n_rows_whole","n_rows_particles","pmcid","link","license","verification_sources","citation"
"SRC_0001","21","90","","https://lib.tums.ac.ir/site/catalogue/188821","CC BY 4.0","Written permission, 22 July 2026; TUMS catalogue","Design of salmeterol-carrier particles for a dry powder inhaler formulation. Mohammad Reza Rahmati. PharmD thesis, Tehran University of Medical Sciences, Faculty of Pharmacy, 1391–1392."
"SRC_0002","2","1","","https://lib.tums.ac.ir/site/catalogue/188941","CC BY 4.0","Written permission, 22 July 2026; TUMS catalogue","Preparation and evaluation of inhalable clarithromycin microparticles by spray drying. Eshagh Esfandi. PharmD thesis, Tehran University of Medical Sciences, Faculty of Pharmacy, 1391–1392."
"SRC_0003","10","12","","https://lib.tums.ac.ir/site/catalogue/189459","CC BY 4.0","Written permission, 22 July 2026; TUMS catalogue","Evaluation of the effect of sugars on the stability of IgG processed by spray-freeze drying. Behnaz Daneshmand. PharmD thesis, Tehran University of Medical Sciences, Faculty of Pharmacy, 1395–1396."
"SRC_0004","18","57","","https://lib.tums.ac.ir/site/catalogue/189511","CC BY 4.0","Written permission, 22 July 2026; TUMS catalogue","Formulation and pharmacokinetic evaluation of a dry powder inhaler containing sildenafil–PLGA nanoparticles. Elham Ghasemian. PhD thesis, Tehran University of Medical Sciences, Faculty of Pharmacy, 1393–1394."
"SRC_0005","6","17","","https://lib.tums.ac.ir/site/catalogue/189608","CC BY 4.0","Written permission, 22 July 2026; TUMS catalogue","Preparation of spray-dried infliximab powder and characterization of its anti-inflammatory effect in a mouse model of acute asthma. Homa Faghihi. PhD dissertation, Tehran University of Medical Sciences, Faculty of Pharmacy, 2015–2016."
"SRC_0006","4","10","","https://lib.tums.ac.ir/site/catalogue/189474","CC BY 4.0","Written permission, 22 July 2026; TUMS catalogue","Evaluation of the effect of simultaneous presence of sugar and cyclodextrin on the stability of IgG processed by spray-freeze drying. Maryam Amini Pouya. PharmD thesis #5552, Tehran University of Medical Sciences, Faculty of Pharmacy, 1395-96 (2016-2017)."
"SRC_0007","15","32","","https://lib.tums.ac.ir/site/catalogue/191052","CC BY 4.0","Written permission, 22 July 2026; TUMS catalogue","Design and evaluation of inhalable rizatriptan particles processed by spray freeze drying. Mahsa Keyhan Shokouh. PharmD thesis, Tehran University of Medical Sciences, Faculty of Pharmacy, 1396–1397."
"SRC_0009","5","25","","https://lib.tums.ac.ir/site/catalogue/224577","CC BY 4.0","Written permission, 22 July 2026; TUMS catalogue","Design and evaluation of inhalable gemifloxacin particles processed by spray freeze drying. PharmD thesis on spray-processed inhalable antibiotic powder (figures reference gemifloxacin, cyclodextrins), Tehran University of Medical Sciences, Faculty of Pharmacy, ~2020."
"SRC_0010","5","26","","https://lib.tums.ac.ir/site/catalogue/229307","CC BY 4.0","Written permission, 22 July 2026; TUMS catalogue","Processing of desmopressin dry powder inhaler by spray freeze drying and evaluation of formulation variables on aerodynamic properties and drug stability. PharmD thesis on dry powder inhaler of desmopressin (peptide), Tehran University of Medical Sciences, Faculty of Pharmacy, ~2021. Title/author/supervisor not present in extracted pages."
"SRC_0011","11","42","","https://lib.tums.ac.ir/site/catalogue/235784","CC BY 4.0","Written permission, 22 July 2026; TUMS catalogue","Processing of oseltamivir phosphate dry powder inhaler by spray drying and evaluation of formulation variables on aerodynamic properties and drug stability. Rojin Abinama. PharmD thesis, Tehran University of Medical Sciences, Faculty of Pharmacy, 1401-02 (2022-2023)."
"SRC_0012","9","49","","https://lib.tums.ac.ir/site/catalogue/231804","CC BY 4.0","Written permission, 22 July 2026; TUMS catalogue","Processing of montelukast dry powder inhaler by spray freeze drying and evaluation of formulation variables on aerodynamic properties. Kimia Azad. PharmD thesis, Tehran University of Medical Sciences, Faculty of Pharmacy, n.d. [date not stated in the source document]."
"SRC_0013","14","22","","https://lib.tums.ac.ir/site/catalogue/195701","CC BY 4.0","Written permission, 22 July 2026; TUMS catalogue","Processing of buserelin dry powder inhaler by spray freeze drying, evaluation of formulation variables on drug stability, and pharmacokinetic study of the optimized formulation. Mostafa Rostamnejad. PhD (Pharmaceutics) thesis پ-525, Tehran University of Medical Sciences, Faculty of Pharmacy, 1402 (2023)."
"SRC_0014","9","19","","https://lib.tums.ac.ir/site/catalogue/231801","CC BY 4.0","Written permission, 22 July 2026; TUMS catalogue","Formulation and evaluation of physicochemical properties of a dry powder inhaler containing posaconazole nanoparticles. Mohammad Mahdi Ramezani. PharmD thesis, Tehran University of Medical Sciences, Faculty of Pharmacy, 1401–1402 [2022–2023]."
"SRC_0015","3","10","","https://lib.tums.ac.ir/site/catalogue/205580","CC BY 4.0","Written permission, 22 July 2026; TUMS catalogue","Formulation of a cinacalcet dry powder inhaler and evaluation of its pharmacokinetic variables using an isolated perfused rat lung model. Katayoun Mireskandari. PhD thesis, Tehran University of Medical Sciences, Faculty of Pharmacy, 1403 [2024–2025]."
"SRC_0016","8","34","","https://lib.tums.ac.ir/site/catalogue/260454","CC BY 4.0","Written permission, 22 July 2026; TUMS catalogue","Evaluation of the effect of amino acids on improving the aerodynamic properties of gemifloxacin inhalable particles processed by spray drying. Marzieh Aghadadashi. PharmD thesis, Tehran University of Medical Sciences, International Campus, Faculty of Pharmacy, 1403–1404."
"SRC_0017","9","26","","https://lib.tums.ac.ir/site/catalogue/259688","CC BY 4.0","Written permission, 22 July 2026; TUMS catalogue","Design of inhalable oseltamivir phosphate particles processed by spray freeze drying and evaluation of formulation variables affecting aerodynamic properties and stability. Elaheh Morovvati. PharmD thesis, Tehran University of Medical Sciences, International Campus, Faculty of Pharmacy, 1403–1404."
