source_id,source_type,pmcid,doi,identifier_type,identifier,record_url,related_publication_doi,license,verification_sources,citation
SRC_0001,PharmD thesis,,,TUMS thesis number,5080,https://lib.tums.ac.ir/site/catalogue/188821,10.1016/j.apt.2012.01.007,Institutional terms; no CC license stated,TUMS Library catalogue; source document,"Design of salmeterol-carrier particles for a dry powder inhaler formulation. Mohammad Reza Rahmati. PharmD thesis, Tehran University of Medical Sciences, Faculty of Pharmacy, 1391–1392."
SRC_0002,PharmD thesis,,,TUMS thesis number,5147,https://lib.tums.ac.ir/site/catalogue/188941,10.1016/j.powtec.2013.02.025,Institutional terms; no CC license stated,TUMS Library catalogue; source document,"Preparation and evaluation of inhalable clarithromycin microparticles by spray drying. Eshagh Esfandi. PharmD thesis, Tehran University of Medical Sciences, Faculty of Pharmacy, 1391–1392."
SRC_0003,PharmD thesis,,,TUMS thesis number,5551,https://lib.tums.ac.ir/site/catalogue/189459,10.1080/10837450.2018.1507039,Institutional terms; no CC license stated,TUMS Library catalogue; source document,"Evaluation of the effect of sugars on the stability of IgG processed by spray-freeze drying. Behnaz Daneshmand. PharmD thesis, Tehran University of Medical Sciences, Faculty of Pharmacy, 1395–1396."
SRC_0004,PhD dissertation,,,TUMS PhD thesis number,P-316,https://lib.tums.ac.ir/site/catalogue/189511,10.3109/10837450.2015.1086369,Institutional terms; no CC license stated,TUMS Library catalogue; source document,"Formulation and pharmacokinetic evaluation of a dry powder inhaler containing sildenafil–PLGA nanoparticles. Elham Ghasemian. PhD thesis, Tehran University of Medical Sciences, Faculty of Pharmacy, 1393–1394."
SRC_0005,PhD dissertation,,,TUMS PhD thesis number,P-335/1,https://lib.tums.ac.ir/site/catalogue/189608,,Institutional terms; no CC license stated,TUMS Library catalogue; source document,"Preparation of spray-dried infliximab powder and characterization of its anti-inflammatory effect in a mouse model of acute asthma. Homa Faghihi. PhD dissertation, Tehran University of Medical Sciences, Faculty of Pharmacy, 2015–2016."
SRC_0006,PharmD thesis,,,TUMS thesis number,5552,https://lib.tums.ac.ir/site/catalogue/189474,10.1208/s12249-018-1023-2,Institutional terms; no CC license stated,TUMS Library catalogue; source document,"Evaluation of the effect of simultaneous presence of sugar and cyclodextrin on the stability of IgG processed by spray-freeze drying. Maryam Amini Pouya. PharmD thesis #5552, Tehran University of Medical Sciences, Faculty of Pharmacy, 1395-96 (2016-2017)."
SRC_0007,PharmD thesis,,,TUMS thesis number,5666,https://lib.tums.ac.ir/site/catalogue/191052,10.1016/j.jddst.2021.102356,Institutional terms; no CC license stated,TUMS Library catalogue; source document,"Design and evaluation of inhalable rizatriptan particles processed by spray freeze drying. Mahsa Keyhan Shokouh. PharmD thesis, Tehran University of Medical Sciences, Faculty of Pharmacy, 1396–1397."
SRC_0008,PhD dissertation,,,SBMU catalogue record ID,173695,https://dlib.sbmu.ac.ir/site/catalogue/173695,10.1016/j.ejps.2019.04.001,Institutional terms; no CC license stated,SBMU Digital Library catalogue record; source document,"Teymouri Rad, R. Preparation and in vitro/in vivo evaluation of tadalafil nanoaggregates as a novel potential inhalable DPI system. PhD (Pharmaceutics) dissertation, Shahid Beheshti University of Medical Sciences, Faculty of Pharmacy, 1396 [2017–2018]. SBMU catalogue record 173695; thesis no. 275."
SRC_0009,PharmD thesis,,,TUMS thesis number,6075,https://lib.tums.ac.ir/site/catalogue/224577,,Institutional terms; no CC license stated,TUMS Library catalogue; source document,"Design and evaluation of inhalable gemifloxacin particles processed by spray freeze drying. PharmD thesis on spray-processed inhalable antibiotic powder (figures reference gemifloxacin, cyclodextrins), Tehran University of Medical Sciences, Faculty of Pharmacy, ~2020."
SRC_0010,PharmD thesis,,,TUMS thesis number,6006,https://lib.tums.ac.ir/site/catalogue/229307,10.1016/j.jddst.2025.107251,Institutional terms; no CC license stated,TUMS Library catalogue; source document,"Processing of desmopressin dry powder inhaler by spray freeze drying and evaluation of formulation variables on aerodynamic properties and drug stability. PharmD thesis on dry powder inhaler of desmopressin (peptide), Tehran University of Medical Sciences, Faculty of Pharmacy, ~2021. Title/author/supervisor not present in extracted pages."
SRC_0011,PharmD thesis,,,TUMS thesis number,6079,https://lib.tums.ac.ir/site/catalogue/235784,,Institutional terms; no CC license stated,TUMS Library catalogue; source document,"Processing of oseltamivir phosphate dry powder inhaler by spray drying and evaluation of formulation variables on aerodynamic properties and drug stability. Rojin Abinama. PharmD thesis, Tehran University of Medical Sciences, Faculty of Pharmacy, 1401-02 (2022-2023)."
SRC_0012,PharmD thesis,,,TUMS thesis number,6034,https://lib.tums.ac.ir/site/catalogue/231804,10.1016/j.apt.2023.104152,Institutional terms; no CC license stated,TUMS Library catalogue; source document,"Processing of montelukast dry powder inhaler by spray freeze drying and evaluation of formulation variables on aerodynamic properties. Kimia Azad. PharmD thesis, Tehran University of Medical Sciences, Faculty of Pharmacy, n.d. [date not stated in the source document]."
SRC_0013,PhD dissertation,,,TUMS PhD thesis number,P-525,https://lib.tums.ac.ir/site/catalogue/195701,10.34172/apb.2023.086,Institutional terms; no CC license stated,TUMS Library catalogue; source document,"Processing of buserelin dry powder inhaler by spray freeze drying, evaluation of formulation variables on drug stability, and pharmacokinetic study of the optimized formulation. Mostafa Rostamnejad. PhD (Pharmaceutics) thesis پ-525, Tehran University of Medical Sciences, Faculty of Pharmacy, 1402 (2023)."
SRC_0014,PharmD thesis,,,TUMS thesis number,6088,https://lib.tums.ac.ir/site/catalogue/231801,,Institutional terms; no CC license stated,TUMS Library catalogue; source document,"Formulation and evaluation of physicochemical properties of a dry powder inhaler containing posaconazole nanoparticles. Mohammad Mahdi Ramezani. PharmD thesis, Tehran University of Medical Sciences, Faculty of Pharmacy, 1401–1402 [2022–2023]."
SRC_0015,PhD dissertation,,,TUMS catalogue record ID,205580,https://lib.tums.ac.ir/site/catalogue/205580,10.34172/PS.2023.30,Institutional terms; no CC license stated,TUMS Library catalogue; source document,"Formulation of a cinacalcet dry powder inhaler and evaluation of its pharmacokinetic variables using an isolated perfused rat lung model. Katayoun Mireskandari. PhD thesis, Tehran University of Medical Sciences, Faculty of Pharmacy, 1403 [2024–2025]."
SRC_0016,PharmD thesis,,,TUMS document number,111317,https://lib.tums.ac.ir/site/catalogue/260454,,Institutional terms; no CC license stated,TUMS Library catalogue; source document,"Evaluation of the effect of amino acids on improving the aerodynamic properties of gemifloxacin inhalable particles processed by spray drying. Marzieh Aghadadashi. PharmD thesis, Tehran University of Medical Sciences, International Campus, Faculty of Pharmacy, 1403–1404."
SRC_0017,PharmD thesis,,,TUMS International Campus thesis number,111234,https://lib.tums.ac.ir/site/catalogue/259688,,Institutional terms; no CC license stated,TUMS Library catalogue; source document,"Design of inhalable oseltamivir phosphate particles processed by spray freeze drying and evaluation of formulation variables affecting aerodynamic properties and stability. Elaheh Morovvati. PharmD thesis, Tehran University of Medical Sciences, International Campus, Faculty of Pharmacy, 1403–1404."
SRC_0018,PhD dissertation,,,TUMS PhD thesis number,P-331/1,https://lib.tums.ac.ir/site/catalogue/197815,10.1515/acph-2016-0012,Institutional terms; no CC license stated,TUMS Library catalogue; source document,"Formulation of parathyroid hormone using spray freeze drying to prepare a dry powder inhaler. Narges Poursina. PhD dissertation, Tehran University of Medical Sciences, Faculty of Pharmacy, 1394–1395."
SRC_0019,article,,10.14356/hptf.18506,DOI,10.14356/hptf.18506,https://doi.org/10.14356/hptf.18506,,CC BY 2.1 JP,Institutional repository; source document,Preparation and Evaluation of Enhanced Alveoli-delivery Dry Powder Inhaler Formulations. Jun Yee TSE et al. (2020). Hosokawa Powder Technology Foundation ANNUAL REPORT.
SRC_0020,article,PMC7757990,10.22037/ijpr.2019.15208.12963,DOI,10.22037/ijpr.2019.15208.12963,https://doi.org/10.22037/ijpr.2019.15208.12963,,CC BY 3.0,Institutional repository; source document,"Preparation, Statistical Optimization and In-vitro Characterization of a Dry Powder Inhaler (DPI) Containing Solid Lipid Nanoparticles Encapsulating Amphotericin B: Ion Paired Complexes with Distearoyl Phosphatidylglycerol. Mehrabani Yeganeh E (2020). Iranian journal of pharmaceutical research : IJPR."
SRC_0021,article,PMC7356266,10.3390/pharmaceutics12060535,DOI,10.3390/pharmaceutics12060535,https://doi.org/10.3390/pharmaceutics12060535,,CC BY 4.0,Institutional repository; source document,"Development of an Innovative, Carrier-Based Dry Powder Inhalation Formulation Containing Spray-Dried Meloxicam Potassium to Improve the In Vitro and In Silico Aerodynamic Properties. Edit Benke et al. (2020). Pharmaceutics."
